,influencer_name,similarity
1974,Louis Jordan,23.073664758666748
519,Captain Beefheart,13.523432978950737
2871,Slim Harpo,10.44036875894237
1305,Hazel Dickens,9.65186024136596
492,Cabaret Voltaire,9.432645663652266
3087,The 13th Floor Elevators,9.057205243757354
820,Del McCoury,9.02194865277048
2973,Steve Reich,8.971813910141078
277,Beth Orton,8.67792337269822
2927,Spike Jones,8.124677133579583
2584,Ralph Stanley,8.002488056439436
2722,Roy Brown,7.91153210975735
246,Be Bop Deluxe,7.803868980853545
1471,Jawbox,7.689729373489822
11,7 Seconds,7.656425123637038
1800,Kitty Wells,7.617417383394003
1292,Harold Melvin,7.576568867612025
3064,Teddy Riley,7.556875255941704
2315,Nick Cave,7.545456591630571
1869,Lee Wiley,6.950144886384693
927,Earl King,6.697865524796813
1332,Horace Andy,6.453976366462138
3290,The Kingsmen,6.415977450809943
3420,The Skatalites,6.3604472848536595
3309,The Maddox Brothers & Rose,6.051495004385212
3427,The Soft Boys,5.985535659168608
2637,Richard Hell,5.896897956220714
1264,Guitar Slim,5.787193203634675
620,Chrome,5.748149112339145
3655,Van der Graaf Generator,5.7319321831678565
448,Brinsley Schwarz,5.633291831909251
2713,Roscoe Holcomb,5.578601807392272
2828,Shirley Collins,5.559159926888079
1848,Larry Levan,5.503341483319873
3166,The Clean,5.496592970015254
3037,T-Bone Walker,5.42721399299128
3392,The Residents,5.373814378190827
2485,Peter Hammill,5.340035815730425
2794,Sebadoh,5.299419615340183
3338,The Move,5.283996430069033
3494,The Weirdos,5.261205260239356
3652,Van Dyke Parks,5.244634035503766
3152,The Chantels,5.241799509406479
1646,Johnny Kidd & the Pirates,5.133899167324822
1678,Josef K,5.100991208826928
1634,Johnny Ace,4.904607349557599
2835,Sick of It All,4.854509578354419
12,808 State,4.833238618435189
2466,Percy Mayfield,4.808949933904778
951,Eddie Van Halen,4.800918288349078
760,Dave Edmunds,4.743188177760019
2896,Son House,4.649639635232564
1474,Jay McShann,4.635983672746422
2023,Maddy Prior,4.583322626882577
834,Derrick Morgan,4.581818668175776
111,Amos Milburn,4.5734382301432
1248,Grant Lee Buffalo,4.543792981178607
67,Albert Ayler,4.4366461895462805
3777,Youssou N'Dour,4.3883133886331676
1441,James Burton,4.376801307045134
3630,U.K. Subs,4.373631452890965
976,Elizeth Cardoso,4.314819885112316
1107,Frankie Paul,4.2763765742919215
2462,Pentagram,4.246155586763051
3682,Vision of Disorder,4.22059692587232
3028,Swell Maps,4.190484793387261
907,Dr. Feelgood,4.122609245177883
572,Charlie Feathers,4.099001005105798
3218,The English Beat,4.058331848833667
2468,Pere Ubu,3.946712183358302
2964,Steve Goodman,3.9383838170169163
1861,"Lee ""Scratch"" Perry",3.8821706937098357
3201,The Dictators,3.853965947069996
131,Angelic Upstarts,3.829299655101016
1914,Liquid Liquid,3.815428683857987
1014,Ernest Tubb,3.7998401743803987
2208,Mississippi Fred McDowell,3.793730505037413
1786,King Missile,3.769865031067772
1127,Front 242,3.760232627725302
443,Brian Wilson,3.7593955087276627
413,Booker T. Jones,3.7530217555505905
337,Biohazard,3.7237288895150584
2804,Sex Pistols,3.6965082081493743
811,Debbie Harry,3.693569283475959
1313,Helen Ward,3.652197587745014
2758,Sam the Sham & the Pharaohs,3.628986207887349
3529,Throwing Muses,3.6077843066424706
1444,James Cotton,3.5668523328763646
2328,Nina Hagen,3.5570003357894797
3751,Wynonie Harris,3.54427962368104
3360,The Pastels,3.54187357248911
923,ESG,3.539404559570931
1148,Garth Brooks,3.5393961240502905
757,Dave Bartholomew,3.497580829409554
2961,Steve Cropper,3.4699178764347316
3078,Terry Riley,3.4666368504228675
3378,The Promise Ring,3.461385178900293
525,Carl Smith,3.4348157894388174
1213,Gladys Knight,3.3666876075815075
3634,UNKLE,3.357985329895363
313,Bill Monroe,3.355237082684734
211,Baaba Maal,3.3201238809347586
1772,Kevin Coyne,3.3130633952669992
2811,Sham 69,3.3115908840159425
1871,Leif Garrett,3.295538420335719
3662,Vassar Clements,3.2898434814397137
2079,Marshall Crenshaw,3.288973660734119
3757,X-Ray Spex,3.2826734612279878
2216,Moby Grape,3.2624830177150255
1239,Grace Slick,3.259697520762734
201,Avail,3.2441316113880427
2456,Pegboy,3.238563182792038
1018,Erskine Hawkins,3.2270397064912824
3242,The Fugs,3.2137587441280595
3114,The Beau Brummels,3.2081431643882024
3074,Terry Allen,3.1898685596177145
2870,Slim Gaillard,3.1885793802403435
3388,The Red Krayola,3.1637519590698013
3683,Voivod,3.1481984822131905
263,Ben Lee,3.1285890855909386
2648,Rick Wakeman,3.1208772996510863
1472,Jawbreaker,3.120871769916992
1996,Lydia Lunch,3.0719336143086187
493,Cachao,3.015737671187962
1955,Lorraine Ellison,3.0135990094413017
3299,The Legendary Pink Dots,2.979015817355272
1668,Jon Lucien,2.9724994427568237
2139,Mercury Rev,2.963633426784652
3208,The Dream Syndicate,2.9562876686793564
3339,The Muffs,2.933669624651181
2966,Steve Harley,2.9318037385149447
3332,The Monochrome Set,2.907357091478885
1542,Jimmy Page,2.887342731350397
2615,Red Foley,2.870608062880551
3729,Willie Mitchell,2.8665964702621625
2548,Prince Far I,2.853671756174477
169,Arrow,2.8424793706423506
465,Buck Owens,2.841421267273754
195,Atomic Rooster,2.83930441114572
3699,Wayne Smith,2.8323152417555266
638,"Clarence ""Gatemouth"" Brown",2.8296694970941116
137,Anita Baker,2.824343051279638
2659,Rita Marley,2.817102271121529
3628,U-Roy,2.8128568673401064
793,Davy Graham,2.804750863194135
1411,Jack Bruce,2.8037753172095057
2765,Sandy Denny,2.7995061785458337
2749,Saint Vitus,2.7916116557035764
1547,Jimmy Webb,2.7874928619646435
2631,Ric Ocasek,2.758122102364501
674,Converge,2.736516758913445
2059,Maria Muldaur,2.709557136884957
1151,Gary Glitter,2.7028909540292023
2905,Sonny Landreth,2.701487870306373
3104,The Associates,2.6661704546237646
2277,Napalm Death,2.6597899984800004
1363,I-Roy,2.658641734350768
2587,Ramblin' Jack Elliott,2.6585889322991183
668,Compay Segundo,2.653014230023013
2876,Sloan,2.6524129847237408
1498,Jerry Cantrell,2.6463758645690967
1459,Jane Siberry,2.6394249832349224
3746,Woody Shaw,2.6268802536789675
2343,O.V. Wright,2.5892717024772893
3415,The Shangri-Las,2.587344262912948
1031,Ewan MacColl,2.5770559704280793
2111,Maxine Sullivan,2.5630736939678345
1224,Godflesh,2.560061660188791
990,Emitt Rhodes,2.552305641032519
319,Billy Eckstine,2.5248751047887548
2029,Magazine,2.5233881170386723
1657,Johnny Shines,2.513046287291872
3321,The Memphis Horns,2.5083476356337306
3342,The Nerves,2.4523225447305794
1314,Hellhammer,2.4496875114765144
3454,The Teardrop Explodes,2.419179018083083
3453,The Tams,2.4154334979960925
2748,Saint Etienne,2.411558787329825
300,Big Star,2.3981962639293224
336,Billy Ward & the Dominoes,2.3905919396223068
1346,Howard Tate,2.3697799656884415
1580,Joe Strummer,2.3660848242735657
3695,Was (Not Was),2.3535509361522395
1660,Johnny Thunders & the Heartbreakers,2.347240492404541
1120,Freddie Mercury,2.322272100422072
2125,Mel Brooks,2.319023815122405
151,Anti-Nowhere League,2.31362903715152
47,Agnostic Front,2.3121158938769457
320,Billy Fury,2.3102733386404597
3286,The KLF,2.3065963868143156
2376,Otis Clay,2.304163231655737
740,Dan Penn,2.2963384950781585
939,Eddie & the Hot Rods,2.2807398349808716
715,Cursive,2.267066191332088
1093,Frank Black,2.260516136977313
3335,The Moonglows,2.2562563561806823
