,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start,similarity
0,759491,The Exploited,Pop/Rock,1980,74,Special Duties,Pop/Rock,1980,0.9628621634315448
1,25462,Tricky,Electronic,1990,335,PJ Harvey,Pop/Rock,1990,0.9742884191886976
2,66915,Bob Dylan,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990,0.9107954361811684
3,71209,Leonard Cohen,Pop/Rock,1950,335,PJ Harvey,Pop/Rock,1990,0.7651085389041681
4,91438,The Gun Club,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990,0.9358332635555984
5,113823,Chrissie Hynde,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,0.9361130301741344
6,132710,Crime & the City Solution,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990,0.83599035221963
7,208582,Lesley Gore,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990,0.8573915421442628
8,378288,Massive Attack,Electronic,1980,335,PJ Harvey,Pop/Rock,1990,0.9418378809424589
9,397880,Nick Cave,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,0.7496745832176633
10,489999,The Raincoats,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,0.9642308728303008
11,492331,Pretenders,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,0.9757859753387919
12,615119,Tom Waits,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,0.8257029992048567
13,651107,Marianne Faithfull,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990,0.9421053647584378
14,747445,Patti Smith,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,0.9625047567138291
15,755156,Sonic Youth,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990,0.8570648637327041
16,838272,Pere Ubu,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,0.9253616532899435
17,895136,Pixies,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990,0.969915441810017
18,899530,The Smiths,Pop/Rock,1980,335,PJ Harvey,Pop/Rock,1990,0.9601097458330846
19,960690,X,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990,0.950747527232476
20,988638,Captain Beefheart,Pop/Rock,1960,335,PJ Harvey,Pop/Rock,1990,0.8942508389649249
21,75264,Bad Brains,Pop/Rock,1970,441,P.O.D.,Pop/Rock,1990,0.9304922300631888
22,91650,Black Flag,Pop/Rock,1970,441,P.O.D.,Pop/Rock,1990,0.8847183249305675
23,112789,Korn,Pop/Rock,1990,441,P.O.D.,Pop/Rock,1990,0.9802422412399147
24,134729,Faith No More,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,0.9823908469391084
25,175775,Eek-A-Mouse,Reggae,1980,441,P.O.D.,Pop/Rock,1990,0.7823133723281018
26,295756,Santana,Pop/Rock,1960,441,P.O.D.,Pop/Rock,1990,0.860286119802362
27,359326,Primus,Pop/Rock,1990,441,P.O.D.,Pop/Rock,1990,0.9530836045991697
28,446509,Metallica,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,0.940447651864129
29,485135,311,Pop/Rock,1990,441,P.O.D.,Pop/Rock,1990,0.965940685277764
30,579839,Suicidal Tendencies,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,0.9826492987277348
31,741746,Sepultura,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,0.9502111077634324
32,789064,Extreme,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,0.9634601398667362
33,790820,Tool,Pop/Rock,1990,441,P.O.D.,Pop/Rock,1990,0.7706715637221376
34,796045,Fishbone,Pop/Rock,1970,441,P.O.D.,Pop/Rock,1990,0.972347679028943
35,806829,Jane's Addiction,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,0.9461083552336297
36,825087,Living Colour,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,0.9708182918380446
37,863790,Rage Against the Machine,Pop/Rock,1990,441,P.O.D.,Pop/Rock,1990,0.9797753071990947
38,883318,Red Hot Chili Peppers,Pop/Rock,1980,441,P.O.D.,Pop/Rock,1990,0.9874134963662714
39,151290,BÃ©la Fleck,Jazz,1970,589,Tony Furtado,Pop/Rock,1980,0.7712617958835892
40,286662,Sam Bush,Country,1960,589,Tony Furtado,Pop/Rock,1980,0.7519255781517205
41,748421,Trey Anastasio,Pop/Rock,1980,589,Tony Furtado,Pop/Rock,1980,0.5970869396214262
42,5953,Alice Cooper,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,0.9481093300698613
43,12654,Spinal Tap,Comedy/Spoken,1980,1098,Soundgarden,Pop/Rock,1980,0.8830404826659175
44,59537,Blue Cheer,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,0.9183830969922089
45,61938,Blue Ã–yster Cult,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980,0.9642061853246024
46,75264,Bad Brains,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,0.9785677127716712
47,81493,Killing Joke,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,0.9648284938398943
48,84209,Kiss,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980,0.9624599997938423
