,influencer_name,similarity
3083,The Beatles,567.2612099351014
366,Bob Dylan,353.87750974381515
3369,The Rolling Stones,299.4407371698843
765,David Bowie,221.743833049355
1844,Led Zeppelin,208.06509608664965
1516,Jimi Hendrix,182.43988076964712
3261,The Kinks,179.31425455011296
3082,The Beach Boys,170.446483097086
3447,The Velvet Underground,161.6162931922093
1270,Hank Williams,160.40776544611552
2069,Marvin Gaye,158.2676697573287
338,Black Sabbath,157.51101279888547
3113,The Byrds,147.0774227007304
977,Elvis Presley,144.40089879355853
1428,James Brown,143.58689363689967
3463,The Who,142.15740289440052
615,Chuck Berry,141.80087358264663
2776,Sex Pistols,140.46731190967623
2165,Miles Davis,134.11439961107362
2956,Stevie Wonder,130.62058990085063
2273,Neil Young,130.34404812373785
3134,The Clash,127.21169071969314
2563,Ramones,118.97393863618701
2489,Pink Floyd,117.89026290418353
2727,Sam Cooke,114.74861892998106
3408,The Stooges,108.452933970499
2312,Nirvana,106.65786377742702
2129,Metallica,104.34333069578918
2232,Muddy Waters,102.26370811328083
1660,Joni Mitchell,100.53965746027673
1624,Johnny Cash,100.23985328837418
3469,The Yardbirds,100.04369075144923
2579,Ray Charles,99.24268428815638
1580,John Coltrane,98.491592678739
2141,Michael Jackson,98.09984127422683
2693,Roxy Music,97.22383873988689
311,Billie Holiday,93.17658357327494
2355,Otis Redding,93.06200810816658
2124,Merle Haggard,92.90661910512611
1793,Kraftwerk,92.59002609658383
466,Buddy Holly,89.8863197009096
1337,Howlin' Wolf,89.0660116769615
806,Deep Purple,88.59475246562477
2521,Prince,88.49094385441526
431,Brian Eno,88.30983179983454
162,Aretha Franklin,86.21487879146451
691,Cream,85.9753956860209
569,Charlie Parker,84.7392301842185
1781,Kiss,84.47357786025428
336,Black Flag,83.54453293696547
1911,Little Richard,82.43055972856958
2855,Smokey Robinson,79.65194597849403
2545,R.E.M.,79.05993139025266
3392,The Smiths,77.04331585784018
3080,The Band,76.89491969083348
1673,Joy Division,75.64861873489812
3595,U2,75.52307613803892
2009,Madonna,74.0579481790525
57,Al Green,72.24116044835422
3155,The Cure,72.19664440814518
972,Elton John,72.17505724339928
2536,Queen,71.09565469602143
1169,George Jones,69.86723797002324
708,Curtis Mayfield,68.61596752496432
1678,Judas Priest,68.52578952855924
